app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,5,pop_17_op_e2_n15_251228_000153,e2,3421987.0,0.9994671286223002,-44349.200000000186,True
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,1,pop_11_op_m1_n13_251227_042439,m1,3646057.6,0.9996288315384481,-13012.799999999814,True
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,2,pop_11_op_m2_n4_251227_051511,m2,3566625.8,0.9996056908995569,-92444.6000000001,True
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,3,pop_13_op_m1_n8_251227_112032,m1,3545542.4,0.9996056908995569,-113528.0,True
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,4,pop_13_op_m2_n16_251227_121005,m2,3941550.3,0.9995962306834207,282479.8999999999,False
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,5,pop_8_op_m2_n17_251226_191044,m2,3628945.8,0.9995847416131193,-30124.600000000093,True
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,1,pop_0_op_m2_n14_251225_175347,m2,3770211.3,0.9991313434447938,41170.09999999963,False
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,2,pop_2_op_e2_n11_251225_221616,e2,3733295.8,0.9979984217790085,4254.5999999996275,False
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,3,pop_0_op_i1_n12_251225_141156,i1,3892117.7,0.9978090360206369,163076.5,False
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,4,pop_6_op_e2_n10_251226_105034,e2,3943139.2,0.9974690823295674,214098.0,False
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,5,pop_0_op_i1_n16_251225_141156,i1,3815288.4,0.9974164916040243,86247.19999999972,False
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,1,pop_3_op_m1_n2_251226_020829,m1,3604990.2,0.9998402084820247,54255.700000000186,False
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,2,pop_2_op_m2_n10_251225_235254,m2,3606282.9,0.999719636647979,55548.39999999991,False
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,3,pop_3_op_m1_n12_251226_020829,m1,3536493.8,0.9995994292758906,-14240.700000000186,True
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,4,pop_2_op_m1_n14_251225_230458,m1,3546928.2,0.9995677411424382,-3806.2999999998137,True
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,5,pop_3_op_m2_n10_251226_025640,m2,3593751.9,0.99940077035293,43017.39999999991,False
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,1,pop_0_op_i1_n13_251225_145628,i1,3847298.8,0.997188025607869,-4778.800000000279,True
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,2,pop_0_op_e2_n0_251225_162047,e2,3949597.1,0.9971746177821323,97519.5,False
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,3,pop_0_op_i1_n14_251225_145628,i1,3815288.4,0.997071224744363,-36789.200000000186,True
