i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
146,1018,pop_10_op_e2_n7_251227_001656,pop_2_op_m2_n1_251225_235254,0.0048654513,404133.5
733,753,pop_18_op_e1_n15_251228_023855,pop_18_op_e2_n16_251228_033156,0.0007819529,249371.5
1331,1482,pop_7_op_e1_n15_251226_131453,pop_9_op_e1_n10_251226_200158,0.0057440763,152454.25
880,1265,pop_1_op_e1_n12_251225_183903,pop_6_op_e1_n4_251226_100202,0.0024766047,98432.0
123,707,pop_10_op_e1_n3_251226_232328,pop_17_op_m1_n9_251228_005726,0.005765324,614167.5
109,1191,pop_0_op_m2_n9_251225_175347,pop_5_op_e1_n5_251226_064644,0.004315147,123232.25
439,894,pop_14_op_e1_n5_251227_125901,pop_1_op_e1_n7_251225_183903,0.0012823106,292537.75
891,988,pop_1_op_e1_n4_251225_183903,pop_2_op_m1_n0_251225_230458,0.0071907165,366396.0
880,999,pop_1_op_e1_n12_251225_183903,pop_2_op_m1_n2_251225_230458,0.0021063124,102220.0
861,1439,pop_19_op_m2_n13_251228_083956,pop_8_op_e2_n8_251226_172614,0.002583662,111449.75
141,144,pop_10_op_e2_n1_251227_001656,pop_10_op_e2_n4_251227_001656,0.0039323764,80156.25
617,870,pop_16_op_m1_n12_251227_212615,pop_19_op_m2_n3_251228_083956,0.0003089776,112385.0
423,1237,pop_13_op_m2_n9_251227_121005,pop_5_op_m2_n14_251226_091303,0.0011877298,134018.25
473,1494,pop_14_op_m1_n2_251227_143951,pop_9_op_e1_n4_251226_200158,0.0032258758,82552.0
258,938,pop_11_op_m2_n1_251227_051511,pop_1_op_m2_n16_251225_204715,0.0023292466,490541.75
47,343,pop_0_op_i1_n15_251225_145628,pop_12_op_m2_n7_251227_083811,0.024691246,311381.5
463,541,pop_14_op_m1_n0_251227_143951,pop_15_op_m1_n13_251227_180037,0.004344589,418870.0
164,679,pop_10_op_m1_n6_251227_010748,pop_17_op_e2_n18_251228_000153,0.0053738514,371045.5
1001,1530,pop_2_op_m1_n4_251225_230458,pop_9_op_m1_n2_251226_214405,0.0062731365,35951.0
334,817,pop_12_op_m2_n17_251227_083811,pop_19_op_e1_n7_251228_060424,0.0040181726,22126.5
430,868,pop_14_op_e1_n15_251227_125901,pop_19_op_m2_n1_251228_083956,0.0052864645,284214.25
636,1412,pop_16_op_m2_n11_251227_221945,pop_8_op_e1_n19_251226_163555,0.0032330921,341465.0
674,1545,pop_17_op_e2_n13_251228_000153,pop_9_op_m2_n16_251226_223416,0.004235242,233370.5
484,1328,pop_14_op_m2_n12_251227_152817,pop_7_op_e1_n12_251226_131453,0.0066357017,487970.75
54,584,pop_0_op_i1_n1_251225_141156,pop_16_op_e1_n17_251227_194508,0.013231112,204002.25
364,1245,pop_13_op_e1_n9_251227_092959,pop_5_op_m2_n3_251226_091303,0.011768641,251730.25
822,1279,pop_19_op_e2_n12_251228_065631,pop_6_op_e2_n18_251226_105034,0.0055041723,353035.25
90,263,pop_0_op_m2_n0_251225_175347,pop_11_op_m2_n6_251227_051511,0.0058949217,105552.5
1074,1332,pop_3_op_m1_n1_251226_020829,pop_7_op_e1_n16_251226_131453,0.007218874,202246.0
438,1160,pop_14_op_e1_n4_251227_125901,pop_4_op_m2_n11_251226_055944,0.005175027,253120.25
389,1428,pop_13_op_m1_n13_251227_112032,pop_8_op_e2_n16_251226_172614,0.006136773,213701.25
457,867,pop_14_op_e2_n4_251227_135021,pop_19_op_m2_n19_251228_083956,0.008893269,441766.0
676,877,pop_17_op_e2_n15_251228_000153,pop_1_op_e1_n0_251225_183903,0.00613745,253138.75
272,1030,pop_12_op_e1_n14_251227_060501,pop_3_op_e1_n13_251226_003906,0.01605105,273917.0
14,196,pop_0_op_e1_n7_251225_153652,pop_11_op_e1_n17_251227_024432,0.010356606,360372.5
867,1118,pop_19_op_m2_n19_251228_083956,pop_4_op_e1_n7_251226_034419,0.002819343,289436.0
786,958,pop_18_op_m2_n12_251228_051251,pop_2_op_e1_n16_251225_213311,0.003884514,537635.5
1111,1220,pop_4_op_e1_n18_251226_034419,pop_5_op_m1_n17_251226_082330,0.007428276,229679.5
587,1550,pop_16_op_e1_n2_251227_194508,pop_9_op_m2_n3_251226_223416,0.0039390502,75513.75
802,1034,pop_19_op_e1_n0_251228_060424,pop_3_op_e1_n18_251226_003906,0.0032823673,229924.25
637,1528,pop_16_op_m2_n12_251227_221945,pop_9_op_m1_n19_251226_214405,0.0023145946,203278.5
351,632,pop_13_op_e1_n15_251227_092959,pop_16_op_m1_n8_251227_212615,0.004600839,177218.25
650,1016,pop_16_op_m2_n6_251227_221945,pop_2_op_m2_n18_251225_235254,0.0031340017,135210.25
205,1267,pop_11_op_e1_n7_251227_024432,pop_6_op_e1_n6_251226_100202,0.0031948122,227466.0
102,500,pop_0_op_m2_n2_251225_175347,pop_14_op_m2_n9_251227_152817,0.013336706,95375.75
259,1490,pop_11_op_m2_n2_251227_051511,pop_9_op_e1_n19_251226_200158,0.0108423345,315698.75
202,520,pop_11_op_e1_n4_251227_024432,pop_15_op_e2_n0_251227_171036,0.0022035844,326301.25
35,1021,pop_0_op_e2_n9_251225_162047,pop_2_op_m2_n4_251225_235254,0.01580998,278470.25
165,800,pop_10_op_m1_n7_251227_010748,pop_18_op_m2_n8_251228_051251,0.004625281,95498.75
140,1259,pop_10_op_e2_n19_251227_001656,pop_6_op_e1_n17_251226_100202,0.0027870259,1401.0
851,1201,pop_19_op_m1_n4_251228_074716,pop_5_op_e2_n16_251226_073535,0.0070446082,21233.0
1085,1124,pop_3_op_m2_n11_251226_025640,pop_4_op_e2_n12_251226_042834,0.0027643156,106710.5
1084,1392,pop_3_op_m2_n10_251226_025640,pop_7_op_m2_n19_251226_154343,0.006636662,116955.5
719,1291,pop_17_op_m2_n2_251228_014656,pop_6_op_m1_n10_251226_113847,0.002616698,79555.5
1116,1123,pop_4_op_e1_n5_251226_034419,pop_4_op_e2_n11_251226_042834,0.0015971925,248493.25
251,252,pop_11_op_m2_n13_251227_051511,pop_11_op_m2_n14_251227_051511,0.0025297115,124317.0
263,1402,pop_11_op_m2_n6_251227_051511,pop_8_op_e1_n0_251226_163555,0.009002977,158929.5
773,780,pop_18_op_m1_n19_251228_041951,pop_18_op_m1_n7_251228_041951,0.0029454343,541487.25
1025,1460,pop_2_op_m2_n8_251225_235254,pop_8_op_m1_n9_251226_182024,0.0061730393,438663.75
237,1038,pop_11_op_m1_n19_251227_042439,pop_3_op_e1_n3_251226_003906,0.0046018865,124559.0
774,1224,pop_18_op_m1_n1_251228_041951,pop_5_op_m1_n2_251226_082330,0.0038817367,265325.25
160,1084,pop_10_op_m1_n2_251227_010748,pop_3_op_m2_n10_251226_025640,0.0052350597,111325.0
270,771,pop_12_op_e1_n12_251227_060501,pop_18_op_m1_n17_251228_041951,0.002914997,434725.25
233,694,pop_11_op_m1_n15_251227_042439,pop_17_op_m1_n14_251228_005726,0.00220277,153875.0
258,842,pop_11_op_m2_n1_251227_051511,pop_19_op_m1_n14_251228_074716,0.0055516944,501891.75
593,987,pop_16_op_e1_n8_251227_194508,pop_2_op_e2_n9_251225_221616,0.008964502,310261.0
179,371,pop_10_op_m2_n1_251227_015504,pop_13_op_e2_n15_251227_102305,0.0066045756,469776.25
469,1352,pop_14_op_m1_n16_251227_143951,pop_7_op_e2_n19_251226_140215,0.0069276853,315039.25
472,1064,pop_14_op_m1_n1_251227_143951,pop_3_op_m1_n10_251226_020829,0.0016365133,239094.5
981,1028,pop_2_op_e2_n3_251225_221616,pop_3_op_e1_n10_251226_003906,0.0024317089,144318.75
945,1170,pop_1_op_m2_n4_251225_204715,pop_4_op_m2_n2_251226_055944,0.006271514,317526.0
56,563,pop_0_op_i1_n2_251225_145628,pop_15_op_m2_n15_251227_185242,0.018938992,138181.75
1346,1494,pop_7_op_e2_n12_251226_140215,pop_9_op_e1_n4_251226_200158,0.005028768,351924.0
136,1510,pop_10_op_e2_n15_251227_001656,pop_9_op_e2_n1_251226_205529,0.008711832,120246.25
533,1492,pop_15_op_e2_n4_251227_171036,pop_9_op_e1_n2_251226_200158,0.007275488,111485.0
183,217,pop_10_op_m2_n5_251227_015504,pop_11_op_e2_n18_251227_033505,0.009716444,328115.5
527,611,pop_15_op_e2_n17_251227_171036,pop_16_op_e2_n7_251227_203430,0.001957146,7318.75
362,1497,pop_13_op_e1_n7_251227_092959,pop_9_op_e1_n7_251226_200158,0.0028318702,171491.5
570,701,pop_15_op_m2_n3_251227_185242,pop_17_op_m1_n3_251228_005726,0.0021669131,276744.25
1414,1518,pop_8_op_e1_n2_251226_163555,pop_9_op_m1_n0_251226_214405,0.0015710158,264730.5
770,1188,pop_18_op_m1_n16_251228_041951,pop_5_op_e1_n2_251226_064644,0.011415385,385935.25
1089,1200,pop_3_op_m2_n15_251226_025640,pop_5_op_e2_n15_251226_073535,0.005726828,418120.5
656,712,pop_17_op_e1_n12_251227_231256,pop_17_op_m2_n13_251228_014656,0.0033357616,511887.5
413,1458,pop_13_op_m2_n18_251227_121005,pop_8_op_m1_n7_251226_182024,0.005351167,71662.5
1189,1432,pop_5_op_e1_n3_251226_064644,pop_8_op_e2_n1_251226_172614,0.0065315063,42710.75
1255,1509,pop_6_op_e1_n13_251226_100202,pop_9_op_e2_n19_251226_205529,0.0027468207,226614.75
410,1268,pop_13_op_m2_n15_251227_121005,pop_6_op_e1_n7_251226_100202,0.00549563,318037.0
1014,1212,pop_2_op_m2_n16_251225_235254,pop_5_op_e2_n9_251226_073535,0.0045571136,389593.5
148,406,pop_10_op_e2_n9_251227_001656,pop_13_op_m2_n11_251227_121005,0.002618155,183088.5
443,1116,pop_14_op_e1_n9_251227_125901,pop_4_op_e1_n5_251226_034419,0.0036201805,135028.75
1197,1228,pop_5_op_e2_n12_251226_073535,pop_5_op_m1_n6_251226_082330,0.0068319077,199184.25
508,699,pop_15_op_e1_n16_251227_162003,pop_17_op_m1_n1_251228_005726,0.0050130337,3454.5
268,1147,pop_12_op_e1_n10_251227_060501,pop_4_op_m1_n17_251226_051356,0.0026284321,5850.0
423,1474,pop_13_op_m2_n9_251227_121005,pop_8_op_m2_n3_251226_191044,0.000848541,251272.5
123,760,pop_10_op_e1_n3_251226_232328,pop_18_op_e2_n5_251228_033156,0.00594656,103303.75
150,1339,pop_10_op_m1_n10_251227_010748,pop_7_op_e1_n5_251226_131453,0.0015108555,226653.25
442,696,pop_14_op_e1_n8_251227_125901,pop_17_op_m1_n16_251228_005726,0.006973144,456213.25
559,1405,pop_15_op_m2_n11_251227_185242,pop_8_op_e1_n12_251226_163555,0.002879376,81516.0
198,534,pop_11_op_e1_n19_251227_024432,pop_15_op_e2_n5_251227_171036,0.0020322455,269433.75
581,709,pop_16_op_e1_n14_251227_194508,pop_17_op_m2_n10_251228_014656,0.0023486703,252604.0
681,1096,pop_17_op_e2_n1_251228_000153,pop_3_op_m2_n3_251226_025640,0.0023929905,143051.5
