app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main,cb_d_sim,codebleu_score,cb_d_perf
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,1,pop_15_op_m1_n1_251227_180037,m1,3478131.7,0.999719838787487,-103820.8999999999,True,0.3433226970883463,0.6566773029116537,103820.8999999999
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,2,pop_7_op_e1_n5_251226_131453,e1,3727023.3,0.9996829146831786,145070.69999999972,False,0.31994298310012403,0.680057016899876,145070.69999999972
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,3,pop_7_op_e1_n4_251226_131453,e1,3700669.8,0.9996142229588248,118717.19999999972,False,0.2946502642052744,0.7053497357947256,118717.19999999972
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,4,pop_11_op_e2_n17_251227_033505,e2,3544051.6,0.99960088128199,-37901.0,True,0.2778702428482437,0.7221297571517563,37901.0
cvrp_lns,2,mid,pop_4_op_m1_n7_251226_051356,m1,3581952.6,529,0.339756,False,5,pop_12_op_e2_n4_251227_065610,e2,3595447.6,0.9995862030636314,13495.0,False,0.33720317889228624,0.6627968211077138,13495.0
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,1,pop_2_op_m1_n12_251225_230458,m1,3526693.1,0.9999792427765044,-43897.39999999991,True,0.08773572105464689,0.9122642789453531,43897.39999999991
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,2,pop_4_op_m2_n2_251226_055944,m2,3561114.3,0.9999792427765044,-9476.200000000186,True,0.09397090913838413,0.9060290908616159,9476.200000000186
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,3,pop_2_op_m2_n4_251225_235254,m2,3562910.3,0.999949689454671,-7680.200000000186,True,0.16463678816794103,0.835363211832059,7680.200000000186
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,4,pop_3_op_m2_n14_251226_025640,m2,3682957.1,0.9998804255186774,112366.6000000001,False,0.19031133006194034,0.8096886699380597,112366.6000000001
cvrp_lns,3,low,pop_4_op_m1_n6_251226_051356,m1,3570590.5,499,0.320488,False,5,pop_3_op_m1_n18_251226_020829,m1,3551329.1,0.999876396555285,-19261.399999999907,True,0.26568978116208086,0.7343102188379191,19261.399999999907
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,1,pop_16_op_m1_n14_251227_212615,m1,3493577.6,0.999643797419734,27241.399999999907,False,0.3822134815452273,0.6177865184547727,27241.399999999907
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,2,pop_19_op_e2_n14_251228_065631,e2,3367407.1,0.9996191752670428,-98929.1000000001,True,0.3460923130750325,0.6539076869249675,98929.1000000001
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,3,pop_17_op_m2_n17_251228_014656,m2,3414770.9,0.9994835354524716,-51565.30000000028,True,0.4012334504017502,0.5987665495982498,51565.30000000028
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,4,pop_15_op_m1_n14_251227_180037,m1,3628066.1,0.9994725940501497,161729.8999999999,False,0.42337791422677473,0.5766220857732253,161729.8999999999
cvrp_lns,4,low,pop_19_op_e2_n12_251228_065631,e2,3466336.2,227,0.145793,False,5,pop_17_op_e2_n15_251228_000153,e2,3421987.0,0.9994671286223002,-44349.200000000186,True,0.41283376109204273,0.5871662389079573,44349.200000000186
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,1,pop_11_op_m1_n13_251227_042439,m1,3646057.6,0.999628831538448,-13012.799999999814,True,0.20171943258163294,0.7982805674183671,13012.799999999814
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,2,pop_11_op_m2_n4_251227_051511,m2,3566625.8,0.9996056908995568,-92444.6000000001,True,0.2596911185870243,0.7403088814129757,92444.6000000001
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,3,pop_13_op_m1_n8_251227_112032,m1,3545542.4,0.9996056908995568,-113528.0,True,0.24414951608764557,0.7558504839123544,113528.0
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,4,pop_13_op_m2_n16_251227_121005,m2,3941550.3,0.9995962306834208,282479.8999999999,False,0.26295841285237653,0.7370415871476235,282479.8999999999
cvrp_lns,5,mid,pop_14_op_m2_n0_251227_152817,m2,3659070.4,726,0.466281,False,5,pop_8_op_m2_n17_251226_191044,m2,3628945.8,0.9995847416131192,-30124.600000000093,True,0.2513383190394394,0.7486616809605606,30124.600000000093
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,1,pop_0_op_m2_n14_251225_175347,m2,3770211.3,0.9991313434447938,41170.09999999963,False,0.27414429334224777,0.7258557066577522,41170.09999999963
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,2,pop_2_op_e2_n11_251225_221616,e2,3733295.8,0.9979984217790084,4254.599999999628,False,0.6055037273687711,0.3944962726312289,4254.5999999996275
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,3,pop_0_op_i1_n12_251225_141156,i1,3892117.7,0.9978090360206368,163076.5,False,0.7155903127796555,0.28440968722034454,163076.5
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,4,pop_6_op_e2_n10_251226_105034,e2,3943139.2,0.9974690823295674,214098.0,False,0.6402300095896982,0.3597699904103018,214098.0
cvrp_lns,6,mid,pop_0_op_i1_n19_251225_141156,i1,3729041.2,837,0.537572,False,5,pop_0_op_i1_n16_251225_141156,i1,3815288.4,0.9974164916040243,86247.19999999972,False,0.7019494181205518,0.2980505818794482,86247.19999999972
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,1,pop_3_op_m1_n2_251226_020829,m1,3604990.2,0.9998402084820248,54255.700000000186,False,0.369203270586824,0.630796729413176,54255.700000000186
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,2,pop_2_op_m2_n10_251225_235254,m2,3606282.9,0.999719636647979,55548.39999999991,False,0.23383215463155893,0.7661678453684411,55548.39999999991
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,3,pop_3_op_m1_n12_251226_020829,m1,3536493.8,0.9995994292758906,-14240.700000000186,True,0.4040664493220695,0.5959335506779305,14240.700000000186
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,4,pop_2_op_m1_n14_251225_230458,m1,3546928.2,0.9995677411424382,-3806.2999999998137,True,0.3660638161692914,0.6339361838307086,3806.2999999998137
cvrp_lns,7,low,pop_2_op_e1_n9_251225_213311,e1,3550734.5,437,0.280668,False,5,pop_3_op_m2_n10_251226_025640,m2,3593751.9,0.99940077035293,43017.39999999991,False,0.4135644696161276,0.5864355303838724,43017.39999999991
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,1,pop_0_op_i1_n13_251225_145628,i1,3847298.8,0.997188025607869,-4778.800000000279,True,0.7660567935253109,0.23394320647468914,4778.800000000279
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,2,pop_0_op_e2_n0_251225_162047,e2,3949597.1,0.9971746177821325,97519.5,False,0.6705091922081428,0.32949080779185724,97519.5
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,3,pop_0_op_i1_n14_251225_145628,i1,3815288.4,0.997071224744363,-36789.200000000186,True,0.5886814583118071,0.41131854168819293,36789.200000000186
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,4,pop_0_op_i1_n5_251225_141156,i1,3892087.9,0.9965381991605056,40010.29999999981,False,0.72034200333864,0.27965799666136004,40010.299999999814
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,5,pop_0_op_i1_n19_251225_141156,i1,3729041.2,0.9964552333574151,-123036.3999999999,True,0.6634554282389152,0.33654457176108477,123036.3999999999
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,1,pop_3_op_e1_n18_251226_003906,e1,3893279.6,0.9988912566004652,84562.1000000001,False,0.622835601511354,0.377164398488646,84562.1000000001
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,2,pop_5_op_e2_n7_251226_073535,e2,3871200.4,0.9987247647818804,62482.89999999991,False,0.56644932387299,0.43355067612701004,62482.89999999991
