i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
2037,2081,pop_13_op_m2_n10_251008_233431,pop_14_op_e2_n14_251009_003531,0.049213815,0.14247996
3072,3482,pop_7_op_m2_n10_251008_092925,pop_11_op_m1_n10_251024_023315,0.50314456,2.07585
158,3939,pop_10_op_m1_n10_251005_130233,pop_17_op_e2_n16_251024_114020,0.65524447,0.32989
691,2318,pop_17_op_e1_n7_251006_012645,pop_17_op_e2_n11_251009_064717,0.60273564,0.91997993
279,1289,pop_12_op_e1_n12_251005_154051,pop_5_op_m2_n14_251005_044551,0.20171213,0.2080499
800,1400,pop_18_op_m1_n19_251006_040930,pop_7_op_e1_n7_251005_065816,0.6836806,1.1060799
3503,4708,pop_11_op_m2_n11_251024_025715,pop_8_op_e1_n16_251023_205917,0.28988826,0.07922006
2301,2672,pop_17_op_e1_n14_251009_061755,pop_2_op_m1_n9_251007_234356,0.71863514,0.86356
682,1360,pop_17_op_e1_n17_251006_012645,pop_6_op_m1_n7_251005_060356,0.7097831,0.87616014
1771,3729,pop_10_op_e2_n5_251008_151704,pop_14_op_m1_n19_251024_071958,0.7686834,0.15675998
73,1178,pop_0_op_i1_n7_251004_181821,pop_4_op_e2_n3_251005_020604,0.81998384,1.02041
841,4416,pop_19_op_e1_n2_251006_050326,pop_4_op_e2_n19_251023_063208,0.8102805,0.0
1414,2282,pop_7_op_e2_n1_251005_072556,pop_16_op_m2_n15_251009_054828,0.6707871,1.25158
1733,4447,pop_0_op_m2_n7_251007_204021,pop_4_op_m2_n10_251023_154845,0.63905126,0.26363993
1623,3638,pop_0_op_e1_n12_251007_192850,pop_13_op_e2_n8_251024_052024,0.6552777,1.74789
853,3321,pop_19_op_e2_n13_251006_053013,pop_0_op_i1_n7_251016_195425,0.72733444,0.68945
3453,3790,pop_11_op_e1_n1_251024_014855,pop_15_op_e2_n4_251024_083105,0.3899116,0.58968
1517,2800,pop_8_op_m1_n5_251005_093415,pop_4_op_e2_n18_251008_025747,0.8279026,0.033640027
2122,2175,pop_14_op_m2_n15_251009_013943,pop_15_op_e2_n9_251009_024009,0.2636056,0.05470997
1923,4303,pop_12_op_e2_n16_251008_192557,pop_2_op_m2_n7_251021_020748,0.7149289,0.19551003
3238,3544,pop_9_op_m2_n18_251008_132009,pop_12_op_e2_n12_251024_034506,0.75456595,1.65941
465,2908,pop_14_op_e2_n19_251005_203509,pop_5_op_m1_n7_251008_051436,0.820708,1.1508499
402,4526,pop_13_op_m1_n15_251005_191524,pop_5_op_m2_n10_251023_172151,0.606514,0.26384997
2744,3561,pop_3_op_m1_n3_251008_013345,pop_12_op_m1_n0_251024_040907,0.614763,1.58289
1105,1776,pop_3_op_e2_n9_251005_002228,pop_10_op_m1_n0_251008_154720,0.81522965,0.2622199
1872,2612,pop_11_op_m1_n6_251008_175342,pop_1_op_m2_n7_251007_222155,0.69964564,1.0965201
3273,4139,pop_0_op_e2_n13_251017_094358,pop_19_op_m2_n3_251024_153447,0.7395749,1.92349
841,1911,pop_19_op_e1_n2_251006_050326,pop_12_op_e1_n5_251008_185635,0.7852903,1.10097
