i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
1930,2505,pop_14_op_m1_n1_251225_000514,pop_3_op_m1_n12_251224_201815,0.7132353,0.08330999
777,2942,pop_18_op_m2_n15_251224_190103,pop_9_op_e2_n7_251224_221118,0.76,0.81145
40,561,pop_0_op_i1_n11_251224_134318,pop_16_op_e1_n11_251224_181432,0.72727275,0.27567995
2476,3191,pop_3_op_e1_n19_251224_200916,pop_11_op_e2_n2_251225_052631,0.7972973,0.25495002
2244,2735,pop_18_op_m2_n9_251225_013900,pop_6_op_m1_n2_251224_211232,0.3898305,1.49392
3172,3484,pop_11_op_e1_n2_251225_052112,pop_15_op_e2_n13_251225_064411,0.5736434,0.69092
1677,4427,pop_11_op_e1_n14_251224_224831,pop_9_op_m2_n11_251225_045729,0.7682119,1.46796
2291,2952,pop_19_op_m1_n17_251225_015609,pop_9_op_m1_n17_251224_221631,0.5531915,0.37076
1818,4363,pop_13_op_e1_n19_251224_233156,pop_8_op_m2_n1_251225_043752,0.8111888,0.51343
1002,1806,pop_2_op_m2_n11_251224_142037,pop_12_op_m2_n6_251224_232635,0.8301887,0.0052299984
1857,2901,pop_13_op_m1_n2_251224_234324,pop_8_op_m2_n18_251224_220122,0.712,0.14488
588,3618,pop_16_op_e2_n19_251224_181906,pop_17_op_e1_n5_251225_071627,0.7633588,0.7544
291,1427,pop_12_op_e2_n4_251224_170832,pop_9_op_e1_n5_251224_161900,0.8095238,1.35194
742,4254,pop_18_op_e2_n1_251224_185247,pop_7_op_e2_n1_251225_040818,0.7962963,0.0108699985
577,1485,pop_16_op_e1_n8_251224_181432,pop_0_op_e1_n0_251224_192810,0.67676765,0.30526
100,2915,pop_0_op_m2_n4_251224_135519,pop_9_op_e1_n15_251224_220604,0.61627907,1.33665
471,2285,pop_14_op_m2_n13_251224_174931,pop_19_op_m1_n11_251225_015609,0.7986577,0.00030000042
400,3597,pop_13_op_m2_n16_251224_173322,pop_16_op_m2_n2_251225_071226,0.7557252,0.86386997
2429,3429,pop_2_op_e2_n8_251224_195847,pop_14_op_m1_n17_251225_062936,0.75213677,0.02908
3098,3210,pop_10_op_e1_n18_251225_050159,pop_11_op_m1_n4_251225_053143,0.43119267,0.0036300002
3097,3974,pop_10_op_e1_n17_251225_050159,pop_3_op_e2_n3_251225_025848,0.74647886,0.002319999
2053,3687,pop_16_op_e2_n15_251225_004450,pop_18_op_e2_n11_251225_073846,0.7987805,1.47611
3187,3208,pop_11_op_e2_n17_251225_052631,pop_11_op_m1_n19_251225_053143,0.34166667,0.9701201
716,722,pop_18_op_e1_n11_251224_184830,pop_18_op_e1_n17_251224_184830,0.656,0.002919998
753,4003,pop_18_op_m1_n11_251224_185705,pop_3_op_m2_n14_251225_030636,0.74285716,1.34208
2208,2227,pop_18_op_e2_n9_251225_012910,pop_18_op_m2_n11_251225_013900,0.5078125,0.08793001
2928,4169,pop_9_op_e2_n0_251224_221118,pop_6_op_e1_n4_251225_034519,0.78145695,1.15605
677,2965,pop_17_op_m1_n11_251224_184025,pop_9_op_m2_n10_251224_222110,0.80597013,1.25697
2210,3496,pop_18_op_m1_n11_251225_013420,pop_15_op_e2_n6_251225_064411,0.7777778,1.49401
459,3095,pop_14_op_m1_n2_251224_174534,pop_10_op_e1_n15_251225_050159,0.76870745,0.0022200346
770,2203,pop_18_op_m1_n9_251224_185705,pop_18_op_e2_n4_251225_012910,0.7922078,0.81749
666,1983,pop_17_op_e2_n19_251224_183600,pop_15_op_e2_n19_251225_002222,0.7876712,0.52893
738,2404,pop_18_op_e2_n15_251224_185247,pop_2_op_e1_n18_251224_195501,0.7345133,1.47409
1693,2818,pop_11_op_e2_n15_251224_225528,pop_7_op_m2_n10_251224_213900,0.5609756,0.69363004
513,1061,pop_15_op_e2_n19_251224_175832,pop_3_op_m1_n14_251224_143102,0.7625,0.09227
1340,3861,pop_7_op_m2_n3_251224_160301,pop_1_op_m1_n2_251225_023309,0.8717949,0.09166
1348,3039,pop_8_op_e1_n12_251224_160509,pop_0_op_i1_n1_251225_020904,0.8217822,1.48234
2801,2935,pop_7_op_m1_n13_251224_213407,pop_9_op_e2_n17_251224_221118,0.7183099,1.47218
2698,3340,pop_6_op_e1_n19_251224_210210,pop_13_op_e2_n3_251225_060450,0.80254775,1.48103
160,1608,pop_10_op_m1_n8_251224_164130,pop_10_op_e1_n3_251224_222545,0.83739835,0.02002
3844,4265,pop_1_op_e2_n5_251225_022841,pop_7_op_m1_n12_251225_041334,0.72131145,0.35074002
389,4313,pop_13_op_m1_n6_251224_172917,pop_8_op_e1_n6_251225_042246,0.7708333,0.82795
1522,4261,pop_0_op_i1_n0_251224_192233,pop_7_op_e2_n8_251225_040818,0.8272727,0.92967004
524,620,pop_15_op_m1_n12_251224_180306,pop_16_op_m2_n12_251224_182728,0.5304348,0.33936998
1506,1745,pop_0_op_e2_n11_251224_193258,pop_12_op_e1_n17_251224_231034,0.7398374,0.05272
1033,4275,pop_3_op_e1_n7_251224_142355,pop_7_op_m1_n5_251225_041334,0.7583333,0.080290005
1628,2003,pop_10_op_e2_n5_251224_223125,pop_15_op_m1_n1_251225_002824,0.4728682,0.86467
4038,4333,pop_4_op_e2_n16_251225_031500,pop_8_op_e2_n9_251225_042810,0.7532467,0.002419997
2200,3392,pop_18_op_e2_n1_251225_012910,pop_14_op_e1_n18_251225_061852,0.78289473,0.11832
3110,3427,pop_10_op_e2_n13_251225_050712,pop_14_op_m1_n15_251225_062936,0.6896552,1.25807
1875,2033,pop_13_op_m2_n19_251224_234834,pop_16_op_e1_n10_251225_003913,0.7099237,1.4087901
1181,4163,pop_5_op_m1_n3_251224_153229,pop_6_op_e1_n13_251225_034519,0.8582677,0.61726
3396,4089,pop_14_op_e1_n3_251225_061852,pop_5_op_e1_n10_251225_032818,0.69285715,0.76044
3585,4307,pop_16_op_m1_n7_251225_070858,pop_8_op_e1_n17_251225_042246,0.6198347,1.19278
1171,3620,pop_5_op_m1_n11_251224_153229,pop_17_op_e1_n9_251225_071627,0.832,0.008560002
2896,3461,pop_8_op_m2_n13_251224_220122,pop_15_op_e1_n0_251225_063845,0.7622378,0.39733002
423,1160,pop_14_op_e1_n19_251224_173716,pop_5_op_e1_n18_251224_152859,0.81,0.02174
1264,3186,pop_6_op_m2_n15_251224_154925,pop_11_op_e2_n16_251225_052631,0.84070796,0.0024100002
3417,3507,pop_14_op_e2_n6_251225_062408,pop_15_op_m1_n16_251225_064917,0.63235295,0.6067
1452,1997,pop_9_op_m1_n12_251224_162633,pop_15_op_m1_n14_251225_002824,0.74311924,0.17024
766,3275,pop_18_op_m1_n5_251224_185705,pop_12_op_m1_n12_251225_055047,0.78740156,0.61937
1210,4210,pop_6_op_e1_n14_251224_153915,pop_6_op_m2_n0_251225_035854,0.8425926,0.02948
352,2170,pop_13_op_e1_n7_251224_172042,pop_17_op_m2_n3_251225_011805,0.8095238,0.69453996
428,3825,pop_14_op_e1_n8_251224_173716,pop_1_op_e1_n5_251225_022428,0.77037036,0.65731
1263,1987,pop_6_op_m2_n14_251224_154925,pop_15_op_e2_n4_251225_002222,0.84671533,1.47269
1597,4012,pop_10_op_e1_n11_251224_222545,pop_3_op_m2_n5_251225_030636,0.79527557,0.35969
567,1525,pop_16_op_e1_n17_251224_181432,pop_0_op_i1_n11_251224_192233,0.77272725,1.4922999
1659,2025,pop_10_op_m2_n16_251224_224258,pop_15_op_m2_n3_251225_003358,0.5743243,0.016300002
1945,3129,pop_14_op_m2_n15_251225_001033,pop_10_op_m1_n17_251225_051224,0.74418604,0.0056299977
