pair_idx,heuristic_id_1,heuristic_id_2,raw_app_type,task_name,d_codebleu,d_ngram,d_weighted_ngram,d_syntax,d_dataflow,cb_d_perf
6823,pop_4_op_m2_n2_251224_152807,pop_0_op_e2_n8_251224_134950,bin_greedy,BinPacking,0.7201462576282217,0.8962928377933419,0.8731810816084338,0.6666666666666667,0.4444444444444444,1.4845499999999998
6824,pop_4_op_m2_n2_251224_152807,pop_17_op_m2_n11_251225_072844,bin_greedy,BinPacking,0.7583706534961183,0.8979178271642939,0.8753641179238583,0.7384615384615385,0.5217391304347826,0.02314
6825,pop_4_op_m2_n2_251224_152807,pop_10_op_m1_n14_251225_051224,bin_greedy,BinPacking,0.7526228959274083,0.8975000616201013,0.8868010458990555,0.75,0.47619047619047616,0.22335999999999998
6826,pop_4_op_m2_n2_251224_152807,pop_14_op_m2_n18_251224_174931,bin_greedy,BinPacking,0.7268101553941246,0.8999182595776907,0.8896753031752788,0.6176470588235294,0.5,0.02314
6827,pop_4_op_m2_n2_251224_152807,pop_2_op_e1_n1_251224_141021,bin_greedy,BinPacking,0.6995290354633759,0.8711539131126635,0.8668474026685674,0.6984126984126984,0.36170212765957444,0.5748
6828,pop_4_op_m2_n2_251224_152807,pop_12_op_m2_n10_251225_055507,bin_greedy,BinPacking,0.773400052939438,0.9354555994567361,0.919255723412127,0.75,0.48888888888888893,0.02304
6829,pop_4_op_m2_n2_251224_152807,pop_7_op_m2_n5_251224_160301,bin_greedy,BinPacking,0.7137267531432604,0.8884442700659164,0.8790292318688272,0.640625,0.44680851063829785,0.02324
6830,pop_4_op_m2_n2_251224_152807,pop_1_op_e2_n3_251224_194452,bin_greedy,BinPacking,0.750942082309734,0.9198449328810737,0.9131774756119416,0.6515151515151515,0.5192307692307692,1.4845499999999998
6831,pop_4_op_m2_n2_251224_152807,pop_17_op_m2_n1_251224_184426,bin_greedy,BinPacking,0.7039320189859958,0.8932926735010036,0.8847883436194499,0.6176470588235294,0.42000000000000004,0.023850000000000003
6832,pop_4_op_m2_n2_251224_152807,pop_15_op_m2_n6_251224_181033,bin_greedy,BinPacking,0.7531591694369757,0.9195173728650189,0.9039865985087985,0.6436781609195402,0.5454545454545454,0.02314
6833,pop_4_op_m2_n2_251224_152807,pop_18_op_e1_n13_251225_073318,bin_greedy,BinPacking,0.7668755617160092,0.9689408841924891,0.9463710871936011,0.5494505494505495,0.6027397260273972,0.06258
6834,pop_4_op_m2_n2_251224_152807,pop_9_op_e2_n15_251224_162247,bin_greedy,BinPacking,0.6144714834007328,0.6991064756094721,0.6905976398116409,0.5681818181818181,0.5,0.10132000000000001
6835,pop_4_op_m2_n2_251224_152807,pop_5_op_e2_n6_251224_204803,bin_greedy,BinPacking,0.7405983439033654,0.915614416487146,0.9034292054317341,0.5571428571428572,0.5862068965517242,1.4845499999999998
6836,pop_4_op_m2_n2_251224_152807,pop_19_op_m2_n8_251224_191815,bin_greedy,BinPacking,0.7115203338572438,0.8992662267885663,0.8891680498168796,0.6176470588235294,0.43999999999999995,0.023450000000000002
6837,pop_4_op_m2_n2_251224_152807,pop_8_op_m1_n18_251224_215632,bin_greedy,BinPacking,0.688305448014037,0.9024253724710681,0.8887917575804181,0.5256410256410257,0.4363636363636364,0.08451
